income,employment_length,existing_debt,loan_amount,credit_score,payment_consistency_pct,income_volatility_score,debt_trend,default
64061.22,3.5,16490.47,17467.64,485,68.5,55.2,-0.37,0
30577.16,2.4,5533.97,9074.36,700,82.6,34.2,-0.016,0
81858.56,5.2,51837.63,27453.15,589,55.4,23.6,0.012,0
90881.4,0.8,21968.46,38800.26,797,90.2,37.3,0.055,0
18526.0,2.1,3933.16,12209.99,763,78.1,18.9,-0.186,0
26470.9,7.5,6403.56,7361.97,581,75.4,37.9,0.212,1
58122.74,1.1,4993.06,31421.69,718,93.2,35.0,0.337,0
45527.26,4.3,18045.28,19136.44,661,66.2,18.7,0.227,1
53678.05,3.1,7631.98,2722.04,826,85.6,26.9,0.073,0
33888.33,2.8,15084.33,7517.32,644,79.2,28.5,-0.499,0
87874.85,8.0,41641.21,47635.07,594,81.5,49.7,0.586,0
83098.8,9.1,46871.95,38359.34,627,88.0,17.5,0.021,0
56180.04,1.7,10842.2,14375.55,661,100.0,18.8,0.109,0
100708.22,3.8,19604.69,22472.07,850,89.6,27.5,-0.247,0
70061.6,0.6,15983.7,15124.76,690,100.0,46.3,-0.075,0
33772.06,7.7,6395.19,14529.5,645,100.0,49.5,0.413,0
66357.56,4.2,9696.98,17676.02,770,94.8,40.2,0.274,0
31971.96,1.0,16626.44,8712.35,466,58.2,49.3,-0.109,1
87829.06,2.2,41390.74,7739.78,677,80.6,58.2,0.535,1
52708.96,1.5,3076.61,26229.62,703,68.7,38.2,-0.353,0
48938.79,2.1,21471.48,13201.39,630,100.0,19.0,-0.588,0
37253.04,0.7,19508.76,22322.19,490,69.9,33.5,-0.675,0
106127.63,10.8,50298.31,16380.61,630,63.0,7.8,0.278,0
49762.09,1.8,5472.43,9585.38,716,45.2,42.9,-0.244,1
42805.41,4.3,14590.28,8516.89,606,69.5,25.2,-0.049,1
44637.36,5.9,8652.86,18273.66,730,85.7,37.2,0.383,0
72603.62,9.1,10760.0,14226.48,796,99.2,33.3,0.115,0
66236.98,4.4,14185.71,24052.1,582,69.0,27.3,-0.415,0
67982.32,3.5,7734.19,32618.05,850,100.0,39.5,0.568,0
68662.02,4.6,22253.57,25993.5,725,83.1,32.5,-0.102,0
175941.39,1.7,49531.24,54193.09,822,77.2,22.4,-0.022,0
43324.42,1.8,11559.52,13021.52,542,86.4,13.0,-0.249,0
40874.7,3.4,16027.58,20970.53,645,100.0,42.1,-0.39,0
34628.25,0.4,16501.03,7821.84,715,84.7,10.9,0.081,0
76022.81,2.4,4193.56,20021.35,806,68.5,70.9,-0.504,0
100804.15,2.9,16122.66,18812.39,765,89.9,60.7,-0.029,0
